code,country,currency,flag_image_url,symbol
ALL,Albania,Lek,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/albania.png,Lek
AFN,Afghanistan,Afghani,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/afghanistan.png,؋
ARS,Argentina,Peso,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/argentina.png,$
AWG,Aruba,Guilder,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/aruba.png,ƒ
AUD,Australia,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/australia.png,$
AZN,Azerbaijan,Manat,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/azerbaijan.png,₼
BSD,Bahamas,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bahamas.png,$
BBD,Barbados,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/barbados.png,$
BYR,Belarus,Ruble,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/belarus.png,p.
BZD,Belize,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/belize.png,BZ$
BMD,Bermuda,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bermuda.png,$
BOB,Bolivia,Boliviano,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bolivia.png,$b
BAM,Bosnia and Herzegovina,Convertible Marka,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/Bosnia_and_Herzegovina.png,KM
BWP,Botswana,Pula,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/botswana.png,P
BGN,Bulgaria,Lev,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/bulgaria.png,лв
BRL,Brazil,Real,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/brazil.png,R$
BND,Brunei,Darussalam Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/brunei.png,$
KHR,Cambodia,Riel,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/cambodia.png,៛
CAD,Canada,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/canada.png,$
KYD,Cayman,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/Cayman_Islands.png,$
CLP,Chile,Peso,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/chile.png,$
CNY,China,Yuan Renminbi,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/china.png,¥
COP,Colombia,Peso,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/colombia.png,$
CRC,Costa Rica,Colon,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/costarica.png,₡
HRK,Croatia,Kuna,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/croatia.png,kn
CUP,Cuba,Peso,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/cuba.png,₱
CZK,Czech Republic,Koruna,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/czechrepublic.png,Kč
DKK,Denmark,Krone,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/denmark.png,kr
DOP,Dominican Republic,Peso,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/dominicanrepublic.png,RD$
EGP,Egypt,Pound,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/egypt.png,£
SVC,El Salvador,Colon,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/elsalvador.png,$
EEK,Estonia,Kroon,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/estonia.png,kr
EUR,Euro Member,Euro,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/euro.png,€
FKP,Falkland Islands,Pound,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/falklandislands.png,£
FJD,Fiji,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/fiji.png,$
GEL,Georgia,Lari,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/georgia.png,₾
GHC,Ghana,Cedis,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/ghana.png,¢
GIP,Gibraltar,Pound,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/gibraltar.png,£
GTQ,Guatemala,Quetzal,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/guatemala.png,Q
GGP,Guernsey,Pound,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/guernsey.png,£
GYD,Guyana,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/guyana.png,$
HNL,Honduras,Lempira,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/honduras.png,L
HKD,Hong Kong,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/hongkong.png,$
HUF,Hungary,Forint,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/hungary.png,Ft
ISK,Iceland,Krona,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/iceland.png,kr
INR,India,Rupee,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/india.png,₹
IDR,Indonesia,Rupiah,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/indonesia.png,Rp
IRR,Iran,Rial,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/iran.png,﷼
IMP,Isle of Man,Pound,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/isleofman.png,£
ILS,Israel,Shekel,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/israel.png,₪
JMD,Jamaica,Dollar,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/jamaica.png,J$
JPY,Japan,Yen,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/japan.png,¥
JEP,Jersey,Pound,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/jersey.png,£
KZT,Kazakhstan,Tenge,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/kazakhstan.png,лв
KPW,Korea (North),Won,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/northkorea.png,₩
KRW,Korea (South),Won,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/southkorea.png,₩
KGS,Kyrgyzstan,Som,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/kyrgyzstan.png,лв
LAK,Laos,Kip,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/laos.png,₭
LVL,Latvia,Lat,https://www.currencyremitapp.com/wp-content/themes/currencyremitapp/images/countryimages/latvia.png,Ls
