customerNumber,productName,orderMonth,priceEach,quantityOrdered,final_payment
363,"1917 Grand Touring Sedan",1,136.00,30,4080.00
363,"1911 Ford Town Car",1,55.09,50,2754.50
363,"1932 Alfa Romeo 8C2300 Spider Sport",1,75.46,22,1660.12
363,"1936 Mercedes Benz 500k Roadster",1,35.29,49,1729.21
128,"1932 Model A Ford J-Coupe",1,108.06,25,2701.50
128,"1928 Mercedes-Benz SSK",1,167.06,26,4343.56
128,"1939 Chevrolet Deluxe Coupe",1,32.53,45,1463.85
128,"1938 Cadillac V-16 Presidential Limousine",1,44.35,46,2040.10
181,"1937 Lincoln Berline",1,95.55,39,3726.45
181,"1936 Mercedes-Benz 500K Special Roadster",1,43.13,41,1768.33
121,"1952 Alpine Renault 1300",1,214.30,26,5571.80
121,"1962 LanciaA Delta 16V",1,119.67,42,5026.14
121,"1958 Setra Bus",1,121.64,27,3284.28
121,"1940 Ford Pickup Truck",1,94.50,35,3307.50
121,"1926 Ford Fire Engine",1,58.34,22,1283.48
121,"1913 Ford Model T Speedster",1,92.19,27,2489.13
121,"1934 Ford V8 Coupe",1,61.84,35,2164.40
121,"18th Century Vintage Horse Carriage",1,86.92,25,2173.00
121,"1917 Maxwell Touring Car",1,86.31,46,3970.26
121,"1940s Ford truck",1,98.07,36,3530.52
121,"1939 Cadillac Limousine",1,40.75,41,1670.75
121,"1962 Volkswagen Microbus",1,107.34,36,3864.24
121,"1936 Chrysler Airflow",1,88.62,25,2215.50
121,"1980’s GM Manhattan Express",1,92.46,31,2866.26
121,"1996 Peterbilt 379 Stake Bed with Outrigger",1,63.35,45,2850.75
121,"1982 Camaro Z28",1,94.07,42,3950.94
141,"1969 Corvair Monza",1,131.44,34,4468.96
141,"1957 Chevy Pickup",1,111.39,41,4566.99
141,"1998 Chrysler Plymouth Prowler",1,135.90,24,3261.60
141,"1964 Mercedes Tour Bus",1,122.73,29,3559.17
141,"1992 Ferrari 360 Spider red",1,165.95,23,3816.85
141,"1970 Triumph Spitfire",1,119.20,38,4529.60
141,"1970 Dodge Coronet",1,52.02,35,1820.70
141,"1958 Chevy Corvette Limited Edition",1,30.41,44,1338.04
141,"1992 Porsche Cayenne Turbo Silver",1,106.45,26,2767.70
141,"1954 Greyhound Scenicruiser",1,51.95,35,1818.25
141,"1950's Chicago Surface Lines Streetcar",1,56.55,49,2770.95
141,"Diamond T620 Semi-Skirted Tanker",1,114.59,33,3781.47
141,"1962 City of Detroit Streetcar",1,53.31,32,1705.92
145,"1972 Alfa Romeo GTA",2,127.84,50,6392.00
145,"2001 Ferrari Enzo",2,205.72,41,8434.52
