Link,Price,Address,Number of Rooms,Living Space Area,Highlighted Description,Description
/rent/4000659202," CHF 2,610.– / month","Vogesenstrasse 45, 4056 Basel",2 rooms 55m² living space ,2 rooms 55m² living space ,Neu renovierte Wohnung in Baumgartnerhaus,"Neu renovierte Wohnung in Baumgartnerhaus Erstvermietung nach Renovation in Baumgartnerhaus an attraktiver Lage nähe St. Johanns Park und Universitätsspital.Die 55m2 grosse Wohnung befindet sich im ersten Stock eines Baumgartnerhauses in einer ruhigen Seitenstraße der Vogesenstrasse. Die Wohnung wurde soeben komplett renoviert und wird ab 1 Februar oder nach Vereinbarung vermietet.Die zentrale Lage erlaubt den Rhein in nur wenigen Gehminuten zu erreichen. Sie genießen in der Nähe eine hervorragende Infrastruktur mit vielen Einkaufsmöglichkeiten und einem einfachen Zugang zum Stadtzentrum.Die komplett neue Küche mit der ungeschliffenen Granitplatte ist ein Blickfang und die hochwertigen Bosch Geräte, wie unter anderem Induktionsherd und Geschirrspüler, laden zum gemütlichen Kochen ein. Eine grosse kippbare Glastür lässt viel Tageslicht herein und öffnet zum Balkon, der einen entspannenden Blick in den gemeinschaftlichen Garten bietet, den Sie nutzen können. Das Badezimmer wurde ebenfalls komplett renoviert. Die drei hellen grosszügigen Zimmer (Wohnzimmer 20 m²/ Schlafzimmer 18m²/ Studio 15 m²) bieten einen hohen Wohnkomfort. Zur Wohnung gehört noch ein Keller Abteil. Eine eigene Waschmaschine/Tumbler Kombination zur exklusiven Benutzung steht im Waschkeller zur Verfügung.Diese Wohnung bietet Altbau Charme mit modernem Komfort, in einer ruhigen Lage. Wenn Sie weitere Informationen wünschen oder eine Besichtigung vereinbaren möchten, stehe ich Ihnen gerne zur Verfügung.Preis 2610.- inkl. NebenkostenBesichtigungen finden nach Vereinbarung statt. "
/rent/4000636078," CHF 1,700.– / month","Alte Aarburgerstrasse 19, 4852 Rothrist",2 rooms ,2 rooms ,Wohnung möbliert von April bis Ende Juni  20 24,"Wohnung möbliert von April bis Ende Juni  20 24 Ich suche eine(n) Untermieter/in für 3 Monate von 01. April bis 30. Juni 20 24 in Rothrist. Ich werde 3 Monate ins Ausland verreisen, deshalb biete ich eine fast neuwertige Wohnung für 3 Monate an.Ich vermiete eine möblierte 2 Zimmer Wohnung. Die Waschmaschine im Keller kann genutzt werden. Zusätzlich bitte ich die Nutzung des TV und Internetabos. "
/rent/4000545552," CHF 2,110.– / month","Lätternweg 36, 3052 Zollikofen",2.5 rooms ,2.5 rooms ,Exklusive Neubauwohnung im Herzen von Zollikofen,"Exklusive Neubauwohnung im Herzen von Zollikofen Suchen Sie eine zentrale und grosszügige Neubauwohnung im Eigentumsstandard?Folgende Vorzüge bietet Ihnen diese moderne Wohnung: Zur Wohnung gelangen Sie mit der herkömmlichen Treppe oder mit dem Lift.DIe moderne Küche verfügt über einen Geschirrspüler, Backofen, Mikrowelle sowie ein Steamer.Ausserdem gehen Sie in der Wohnung auf einem pflegeleichten Boden aus Marmor und verfügen zudem über eine private Waschmaschine und Tumbler. Stauplatz bietet die Wohnung mit Garderobe, Wandschränken, Kellerabteil und einem abschliessbaren Reduit. Auch bei einem regnerischen Tag, können Sie draussen auf dem grossen und gedeckten Balkon verweilen. Ein Einstellhallenplatz kann für 120.00 CHF/mtl. dazu gemietet werden.Haben Sie Interessen? Dann dürfen Sie uns gerne unverbindlich kontaktieren. "
/rent/4000567575," CHF 1,810.– / month","Bourg du Village 9, 1512 Chavannes-sur-Moudon",2.5 rooms 39m² living space ,2.5 rooms 39m² living space ,Construction neuve,"Construction neuve Dans un petit immeuble d'habitation au cœur du village de Chavannes-sur-Moudon à 5 minutes de Moudon :À louer 5 appartements de 2 à 4.5 pièces, en cours de constructionDistribution du lot 3 : Hall avec amroire d'entrée, une cuisine droite agencée et ouverte sur salon-séjour, un grand séjour de 34m2, donnant sur une terrasse de 21m2, une grande chambre de 14m2, une salle de bains / WC. Au rez un débarras de 4.45 m2.Grande buanderie commune pour les 5 logementsIdéal pour jeune couple désirant rester dans la régionAdapté aussi pour les séniorsPossibilité de louer une surface aux combles de 48 m2 pour espace de détente ou travailSelon plaquette de prix et plans teintés : • Lot 1 / Appt de 3.5 pièces avec grand jardin + un garage et une place extérieure (Saumon des plans) • Lot 2 / Appt de 3.5 pièces + un une place couverte et une place extérieure (Jaune des plans) • Lot 3 / Appt de 2.5 pièces + une place couverte (Lilas des plans) • Lot 4 / Appt de 2.5 pièces + une place couverte (Ver des plans) • Lot 5 / Appt de 4.5 pièces + un garage et une place extérieure (Rose des plans) • Lot 6 / Disponible (idéal pour home office + une place couverte (Orange des plans) Charges en susLes places extérieures sont à CHF 50.00/mens.Les places couvertes sont à CHF 100.00/mens.Les garages sont à CHF 120.00/mens. "
/rent/4000339166," CHF 5,100.– / month","Hauptstrasse 26, 4853 Murgenthal",4.5 rooms 200m² living space ,4.5 rooms 200m² living space ,Traumhaftes 4.5-Zimmer-Einfamilienhaus auf 4571 m2 Grundstück,"Traumhaftes 4.5-Zimmer-Einfamilienhaus auf 4571 m2 Grundstück Dieses frei stehende charmante Einfamilienhaus wurde 2023 kernsaniert und ist nun bereit für den Erstbezug.Die Liegenschaft verfügt über 6 Zimmer, 1 separate Küche und 3 Nasszellen. Weitere Highlights sind ein fast 100 m2 grosser Estrich sowie ein grosser Keller mit viel Stauraum.Die Nettomiete von CHF 3'900.- beinhaltet die Benützung der Umgebung inkl. vieler Parkmöglichkeiten für PW's.Alle Heiz- und Nebenkosten kommen zur Nettomiete hinzu und müssen vom Mieter direkt bezahlt werden.Auf dem 4'571 m2 grossen Grundstück (inkl. Landwirtschaftsland) befinden sich 2 Scheunen, welche man separat noch dazu mieten kann:- Scheune Ost 360 m2: Fr. 900.- pro Monat- Scheune West 100 m2: Fr. 400.- pro MonatSollten Sie Interesse haben und wünschen Sie einen Besichtigungstermin, so füllen Sie vorab bitte das Formular für Mietinteressenten aus, welches als PDF angefügt ist. Ebenfalls sind alle Grundrisspläne aufgeschaltet. "
/rent/4000133704," CHF 3,000.– / month","Aecherligasse 2, 4665 Oftringen",2.5 rooms 140m² living space ,2.5 rooms 140m² living space ,2.5 Zi.-Wohnung Überbauung «Aecherligasse» in Oftringen - Haus B,"2.5 Zi.-Wohnung Überbauung «Aecherligasse» in Oftringen - Haus B Für weitere Wohnungen PDF Preisliste obenoder hegibau.chDie komfortablen Wohnungen an der Aecherligasse liegen sehr zentral und doch in einem ruhigen Quartier direkt am Rande des Naherholungsgebiets. Sämtliche Schulen/ Kindergarten sind in wenigen Minuten erreichbar. Die nächste Bushaltestelle liegt unmittelbar in der Nähe. Ob zu Fuss, mit dem Auto oder mit den öffentlichen Verkehrsmitteln, ihr Zuhause bietet ausgezeichneten Anschluss. Einkaufsmöglichkeiten, Post sowie Bank sind ebenfalls bequem in wenigen Gehminuten erreichbar.Die Wohnungen bestechen durch grosszügige Grundrisse und einen hohen Ausbaustandard, welcher keine Wünsche offenlässt. "
/rent/4000592128," CHF 3,790.– / month","Flugbrunnenstrasse 10, 3065 Bolligen",2.5 rooms 49m² living space ,2.5 rooms 49m² living space ,Erstvermietung: 2.5-Zi. Attikawohnung mit 110 m2 Terrasse,"Erstvermietung: 2.5-Zi. Attikawohnung mit 110 m2 Terrasse Neubau im Herzen von Bolligen • Der Bezug erfolgt ab Frühling 2024. • Die neue Überbauung «Flugbrunnenareal Bolligen» beherbergt aktuell 57 Wohnungen in vier Gebäuden und befindet sich an zentraler Lage in Bolligen. • Wohnen an der Sonne: Die optimale Ausrichtung mit Weitblick nach Süden und Westen gestattet eine ausdrucksvolle Aussicht in Richtung Bern. Wie die Aussenräume profitieren auch die Innenräume dank grosszügiger Fensterfronten von umfassender Besonnung bis in die Abendstunden. Als Bewohner/in profitieren Sie von vielen Vorteilen: • Der Bahnhof Bolligen resp. die Ortsbushaltestelle befindet sich wenige Gehminuten entfernt. • Den ""Dorfmärit"" mit verschiedenen Geschäften und einem attraktiven Wochenmarkt erreichen Sie stufenlos über eine Passarelle. • Ruhige und dennoch zentrale Lage mit Aussicht gegen den Gurten oder gegen den Jura. • Vielerlei Aktivitäten in der nahgelegenen Natur. Haben Sie Fragen? Gerne beraten wir Sie! "
/rent/4000397433," CHF 2,410.– / month","Route d'Antzère 21B, 1964 Conthey",2.5 rooms 62m² living space ,2.5 rooms 62m² living space ,Charmant 2.5 Pcs neuf en location au centre-ville de Conthey,"Charmant 2.5 Pcs neuf en location au centre-ville de Conthey A louer dans une nouvelle promotion un 2.5 pièces de haut standing.La résidence « Urbana» est caractérisée par une belle architecture, de grands espaces communs et de grandes terrasses. La promotion est située dans un environnement calme et ensoleillé au coeur de la ville de Conthey.Toutes les commodités se trouvent à moins de 5 minutes à pied : école primaire, cycle d’orientation, gare CFF, arrêts de bus, centres commerciaux, pharmacies, fitness, restaurants et places de jeux. Vous êtes également proche de plusieurs lieux de balade telles que les îles de Sion, la promenade des berges et le lac de Derborence.L’immeuble a été placé à une certaine distance de la route principale afin de bénéficier d'une meilleure tranquillité.Vous êtes au 4ème étage avec une disposition traversante, le séjour et la cuisine et au Sud et la chambre parentale au Nord. Vous disposez d'une terrasse de 18m2 au Sud ainsi qu'une loggia au Nord de 5 m2. Cet appartement vous offre un cadre lumineux composé d'un vaste séjour avec cuisine ouverte entièrement agencée. Les surfaces sont généreuses et les matériaux de qualité garantissant votre bien-être.Ce logement se compose comme suit :Finition des murs en crépiCuisine ouverte sur séjour • cuisine équipée • plaque de cuisson en induction • hotte de ventilation • lave-vaisselle • frigo • divers meubles de rangement • carrelage moderne Séjour • lumineux • carrelage beige 30x60 • Prise TV pour tous les opérateur • 3 prises triples à disposition Chambre parentale • trois prises triples • parquet au sol 2ème chambre • 1 prise triple • parquet Salle de douche • spacieuse douche • lavabo • armoire à pharmacie • WC suspendu • porte-papier • porte-verre • porte-serviette • barre à linge • carrelage au sol beige 30x60 • carrelage sur les murs blanc imitation marbre 30x60 Terrasse • vu au Sud donnant sur le séjour • la terrasse est couverte • 1 prise extérieur Loggia • vu au Nord donnant sur la chambre parentale • la loggia est couverte • 1 prise extérieur Divers • production de chaleur : Pompe à chaleur air-eau avec appoint au gaz, chauffage au sol • cave mise à disposition • parfaitement adapté aux personnes à mobilité réduite. L'immeuble dispose d'un ascenseur. • 1 télécommande pour la porte du parking sera mise à disposition • 2 clés de l'appartement seront mises à disposition Le loyer brut est de CHF 1'550.- par mois. Les charges (éléctricité, eau, etc) sont de CHF 200.- par mois et la place de parc est à CHF 100.- par mois. Le loyer doit être payé d'avance est s'élève à CHF 1'620.- par mois.L'appartement est encore en cours de construction et sera terminé qu'en février 2024. Le bail a loyer débutera donc le 01.03.2024.Les animaux domestiques sont interdits dans l'appartement.Ce logement saura vous séduire, que vous soyez célibataires, retraités ou en couple.N'hésitez pas à nous contacter pour la visite de votre prochain coup de coeur. "
/rent/4000592119," CHF 1,980.– / month","Flugbrunnenstrasse 10, 3065 Bolligen",2.5 rooms 27m² living space ,2.5 rooms 27m² living space ,Erstvermietung:  2.5-Zi. Etagenwohnung im Herzen von Bolligen,"Erstvermietung:  2.5-Zi. Etagenwohnung im Herzen von Bolligen Neubau im Herzen von Bolligen • Der Bezug erfolgt ab Frühling 2024. • Die neue Überbauung «Flugbrunnenareal Bolligen» beherbergt aktuell 57 Wohnungen in vier Gebäuden und befindet sich an zentraler Lage in Bolligen. • Wohnen an der Sonne: Die optimale Ausrichtung mit Weitblick nach Süden und Westen gestattet eine ausdrucksvolle Aussicht in Richtung Bern. Wie die Aussenräume profitieren auch die Innenräume dank grosszügiger Fensterfronten von umfassender Besonnung bis in die Abendstunden. Als Bewohner/in profitieren Sie von vielen Vorteilen: • Der Bahnhof Bolligen resp. die Ortsbushaltestelle befindet sich wenige Gehminuten entfernt. • Den ""Dorfmärit"" mit verschiedenen Geschäften und einem attraktiven Wochenmarkt erreichen Sie stufenlos über eine Passarelle. • Ruhige und dennoch zentrale Lage mit Aussicht gegen den Gurten oder gegen den Jura. • Vielerlei Aktivitäten in der nahgelegenen Natur. Haben Sie Fragen? Gerne beraten wir Sie! "
/rent/4000260258," CHF 3,400.– / month","Höhenweg 16, 3661 Uetendorf",3.5 rooms 170m² living space ,3.5 rooms 170m² living space ,Erstvermietung - Schafweidli Uetendorf,"Erstvermietung - Schafweidli Uetendorf Träumen Sie von einer Mietwohnung an ruhiger und doch zentralster Lage? Wir bieten Ihnen eine als Eigentumswohnung ausgebaute, grosszügige 3.5-Zimmerwohnung in der Überbauung Schafweidli. Bezugsbereit ab November 2023.Mit zwei würfelförmigen Mehrfamilienhäusern mit dazwischenliegenden grossen, begrünten Freiflächen mit Siedlungshof. Die Aussenräume sollen einen oekologischen Mehrwert schaffen. Durch die sorgfältig abgestimmte Farbgestaltung der Fassaden und den extensiv begrünten Flachdächern integrieren sich die drei viergeschossigen in der höhe gesplitteten Gebäude perfekt in das bestehende Ortsbild. Im grosszügig konzipierten Wohnraum ist ein gut organisierter Grundriss garantiert. Normalerweise sind Raumhöhen von 2.30 Metern Standard, im Schafweidli werden überhohe Räume von 2.55 Metern realisiert.Die Wohnung verfügt über eine moderne Küche, welcher dank intelligenter Schranksysteme viel Stauraum geschaffen wird. Ein Induktionskochfeld sowie ein Kompacktbackofen mit Mikrowellenfunktion sorgen für eine rasche Zubereitung von Speisen. Die Einbauschranksysteme sind allesamt zimmerhoch eingebaut. Im Entrée verfügt der Wandschrank über einen zusätzlichen Schuhauszug. Das Badezimmer verfügt über einen massgefertigten Zusatzschrank.In Küche sowie Nasszelle sind zeitlose keramische Bodenplatten verlegt, in den Schlafzimmern und im Wohnzimmer astfreier Parkettboden. Das Obergeschoss ist mit grossen Einzelbalkonen ausgestattet, anteilig je in Nischen und auskragend, mit allseitigen Vertikalmarkisen, welche gegen Wind, Sonne und Einsicht schützen. Zudem gibt es ausschliesslich überhohe zweiflügelige Fenstertüren mit Staketengeländern.Die 4 ½-Zimmer-Wohnung hat überhohe Hebe-Schiebe-Fensterfronten. Als Sonnenschutz bei allen Zimmern dienen Leichtmetall-Lamellenstoren.-Hinweis, keine Gewähr auf angegebenen Flächen auf Grundrissplänen, kleinere Abweichungen sind möglich. -Ein Bastelraum im Untergeschoss vorhanden.-Private Waschmaschine/Trockner in der Wohnung.-Ein Autoabstellplatz kann dazu gemietet werden für CHF 130.00/mtl. "
